 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
19	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,244185209274292
19	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,24169087409973145
19	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,24947237968444824
19	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2576618194580078
19	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2585585117340088

19	1	Chi2	100	0,7845659163987139	0,8568789393610086	0,6815286624203821	0,764538661468486	0,12944245338439941
19	2	Chi2	100	0,7636655948553055	0,8614069405201767	0,5668789808917197	0,7114197530864197	0,1559278964996338
19	3	Chi2	100	0,7980769230769231	0,8804039323762904	0,7870967741935484	0,8633333333333333	0,11681723594665527
19	4	Chi2	100	0,7708333333333334	0,8590452881411708	0,7096774193548387	0,8094166666666667	0,07551312446594238
19	5	Chi2	100	0,7355769230769231	0,8559859734276666	0,6129032258064516	0,7775	0,07635879516601562
 
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
42	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,26403307914733887
42	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,23976492881774902
42	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,24311089515686035
42	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,2609124183654785
42	5	ALL	4635	0,8189102564102564	0,8637653736991485	0,7677419354838709	0,8055	0,2508988380432129

42	1	Chi2	100	0,7845659163987139	0,8568789393610086	0,6815286624203821	0,764538661468486	0,11082720756530762
42	2	Chi2	100	0,7636655948553055	0,8614069405201767	0,5668789808917197	0,7114197530864197	0,15324020385742188
42	3	Chi2	100	0,7980769230769231	0,8804039323762904	0,7870967741935484	0,8633333333333333	0,13696765899658203
42	4	Chi2	100	0,7708333333333334	0,8590452881411708	0,7096774193548387	0,8094166666666667	0,08709001541137695
42	5	Chi2	100	0,7355769230769231	0,8559859734276666	0,6129032258064516	0,7775	0,10559725761413574
 
(779, 4635)
GNB_CV	PART	FILTER	FEATS	ACC_TR	AUC_TR	ACC_TST	AUC_TST	TIME
69	1	ALL	4635	0,8086816720257235	0,8746494033388188	0,7197452229299363	0,7871994801819362	0,25568389892578125
69	2	ALL	4635	0,8118971061093248	0,8910433549642418	0,6242038216560509	0,7716861598440546	0,23778367042541504
69	3	ALL	4635	0,8205128205128205	0,8607471926288511	0,8	0,8285	0,2494962215423584
69	4	ALL	4635	0,8012820512820513	0,84508555797787	0,7677419354838709	0,7975833333333333	0,25770044326782227
